
Host: Rubens-MacBook-Pro-2.local

Timers On : Sat Jan 23 21:23:40 2021
Timers Off: Sat Jan 23 22:00:09 2021

Wall Time:     2189.49 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :    196.100u      1.217s     20.121w      1 calls
DFH: sparsity prep                  :      0.933u      0.067s      0.637w      1 calls
DFH: initialize()                   :    746.933u     76.917s    164.426w      1 calls
DFH: Total Workflow                 :    556.400u      9.417s     66.933w      4 calls
DFH: AO Construction                :    143.383u      2.933s     14.803w      4 calls
DFH: AO-Met. Contraction            :    413.017u      6.483s     52.128w      4 calls
HF: Form core H                     :      0.333u      0.167s      0.289w      1 calls
HF: Form S/X                        :      0.867u      0.150s      0.514w      1 calls
HF: Guess                           :      4.217u      0.500s      0.543w      1 calls
SAD Guess                           :      4.083u      0.467s      0.491w      1 calls
HF: Form G                          :   9489.717u   1199.400s   1968.098w     30 calls
RV: Form V                          :   1249.900u    204.433s    190.512w     30 calls
Properties                          :    813.525p                         382800 calls
Functional                          :    157.623p                         382800 calls
V_xc                                :    393.631p                         382800 calls
JK: D                               :      1.050u      0.133s      0.139w     30 calls
JK: USO2AO                          :      0.517u      0.117s      0.055w     30 calls
JK: JK                              :   8236.200u    993.700s   1776.758w     30 calls
DFH: compute_JK()                   :   1685.383u    920.217s   1024.764w     20 calls
DFH: Grabbing AOs                   :     31.200u    272.283s    388.826w     41 calls
DFH: compute_J                      :     60.950u     86.850s     30.728w     41 calls
DFH: compute_K                      :   1582.083u    531.167s    586.483w     41 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     30 calls
HF: Form F                          :      0.867u      0.267s      0.183w     30 calls
HF: Form D                          :      0.700u      0.050s      0.109w     30 calls
HF: DIIS                            :     14.317u      4.033s      2.542w     29 calls
DIISManager::add_entry              :      0.633u      0.083s      0.100w     29 calls
DIISManager::extrapolate            :      5.667u      2.750s      1.143w     29 calls
bMatrix setup                       :      1.517u      1.717s      0.503w     29 calls
bMatrix pseudoinverse               :      1.000u      0.150s      0.121w     29 calls
New vector                          :      3.100u      0.883s      0.513w     29 calls
HF: Form C                          :     27.000u      2.633s      4.107w     29 calls

--------------------------------------------------------------------------------------
V: Grid                             :    196.100u      1.217s     20.121w      1 calls
DFH: sparsity prep                  :      0.933u      0.067s      0.637w      1 calls
DFH: initialize()                   :    746.933u     76.917s    164.426w      1 calls
| DFH: Total Workflow               :    556.400u      9.417s     66.933w      4 calls
| | DFH: AO Construction            :    143.383u      2.933s     14.803w      4 calls
