
Host: Rubens-MacBook-Pro-2.local

Timers On : Tue Jan 19 08:25:57 2021
Timers Off: Tue Jan 19 08:27:55 2021

Wall Time:      118.13 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.033u      0.000s      0.017w      2 calls
DFH: initialize()                   :      0.100u      0.000s      0.058w      2 calls
DFH: AO Construction                :      0.017u      0.000s      0.008w      2 calls
DFH: AO-Met. Contraction            :      0.017u      0.000s      0.002w      2 calls
HF: Form core H                     :      0.000u      0.000s      0.004w      2 calls
HF: Form S/X                        :      0.000u      0.000s      0.000w      2 calls
HF: Guess                           :      0.000u      0.000s      0.000w      2 calls
HF: Form G                          :      0.317u      0.017s      0.199w     36 calls
JK: D                               :      0.000u      0.000s      0.000w     36 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     36 calls
JK: JK                              :      0.317u      0.017s      0.198w     36 calls
DFH: compute_JK()                   :      0.000u      0.000s      0.004w     24 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     24 calls
DFH: compute_J                      :      0.000u      0.000s      0.001w     24 calls
DFH: compute_K                      :      0.000u      0.000s      0.003w     24 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     36 calls
HF: Form F                          :      0.000u      0.000s      0.000w     36 calls
HF: DIIS                            :      0.017u      0.000s      0.021w     36 calls
DIISManager::add_entry              :      0.000u      0.000s      0.000w     36 calls
DIISManager::extrapolate            :      0.000u      0.000s      0.002w     36 calls
bMatrix setup                       :      0.000u      0.000s      0.000w     36 calls
bMatrix pseudoinverse               :      0.000u      0.000s      0.001w     36 calls
New vector                          :      0.000u      0.000s      0.000w     36 calls
HF: Form C                          :      0.000u      0.000s      0.003w     36 calls
HF: Form D                          :      0.000u      0.000s      0.000w     36 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.033u      0.000s      0.017w      2 calls
DFH: initialize()                   :      0.100u      0.000s      0.058w      2 calls
| DFH: AO Construction              :      0.017u      0.000s      0.008w      2 calls
| DFH: AO-Met. Contraction          :      0.017u      0.000s      0.002w      2 calls
HF: Form core H                     :      0.000u      0.000s      0.004w      2 calls
HF: Form S/X                        :      0.000u      0.000s      0.000w      2 calls
HF: Guess                           :      0.000u      0.000s      0.000w      2 calls
HF: Form G                          :      0.317u      0.017s      0.199w     36 calls
| JK: D                             :      0.000u      0.000s      0.000w     36 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w     36 calls
| JK: JK                            :      0.317u      0.017s      0.198w     36 calls
| | DFH: compute_JK()               :      0.000u      0.000s      0.004w     24 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     24 calls
| | | DFH: compute_J                :      0.000u      0.000s      0.001w     24 calls
| | | DFH: compute_K                :      0.000u      0.000s      0.003w     24 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     36 calls
HF: Form F                          :      0.000u      0.000s      0.000w     36 calls
HF: DIIS                            :      0.017u      0.000s      0.021w     36 calls
| DIISManager::add_entry            :      0.000u      0.000s      0.000w     36 calls
| DIISManager::extrapolate          :      0.000u      0.000s      0.002w     36 calls
| | bMatrix setup                   :      0.000u      0.000s      0.000w     36 calls
| | bMatrix pseudoinverse           :      0.000u      0.000s      0.001w     36 calls
| | New vector                      :      0.000u      0.000s      0.000w     36 calls
HF: Form C                          :      0.000u      0.000s      0.003w     36 calls
HF: Form D                          :      0.000u      0.000s      0.000w     36 calls

**************************************************************************************

Host: Rubens-MacBook-Pro-2.local

Timers On : Tue Jan 19 08:28:39 2021
Timers Off: Tue Jan 19 08:34:24 2021

Wall Time:      344.45 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.017u      0.000s      0.009w      1 calls
DFH: initialize()                   :      0.033u      0.017s      0.028w      1 calls
DFH: AO Construction                :      0.000u      0.000s      0.003w      1 calls
DFH: AO-Met. Contraction            :      0.000u      0.000s      0.001w      1 calls
HF: Form core H                     :      0.000u      0.000s      0.002w      1 calls
HF: Form S/X                        :      0.000u      0.000s      0.000w      1 calls
HF: Guess                           :      0.000u      0.000s      0.000w      1 calls
HF: Form G                          :      0.167u      0.000s      0.090w     18 calls
JK: D                               :      0.000u      0.000s      0.000w     18 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     18 calls
JK: JK                              :      0.167u      0.000s      0.089w     18 calls
DFH: compute_JK()                   :      0.017u      0.000s      0.002w     12 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     12 calls
DFH: compute_J                      :      0.017u      0.000s      0.001w     12 calls
DFH: compute_K                      :      0.000u      0.000s      0.001w     12 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     18 calls
HF: Form F                          :      0.000u      0.000s      0.000w     18 calls
HF: DIIS                            :      0.000u      0.000s      0.010w     18 calls
DIISManager::add_entry              :      0.000u      0.000s      0.000w     18 calls
DIISManager::extrapolate            :      0.000u      0.000s      0.001w     18 calls
bMatrix setup                       :      0.000u      0.000s      0.000w     18 calls
bMatrix pseudoinverse               :      0.000u      0.000s      0.001w     18 calls
New vector                          :      0.000u      0.000s      0.000w     18 calls
HF: Form C                          :      0.000u      0.000s      0.002w     18 calls
HF: Form D                          :      0.000u      0.000s      0.000w     18 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.017u      0.000s      0.009w      1 calls
DFH: initialize()                   :      0.033u      0.017s      0.028w      1 calls
| DFH: AO Construction              :      0.000u      0.000s      0.003w      1 calls
| DFH: AO-Met. Contraction          :      0.000u      0.000s      0.001w      1 calls
HF: Form core H                     :      0.000u      0.000s      0.002w      1 calls
HF: Form S/X                        :      0.000u      0.000s      0.000w      1 calls
HF: Guess                           :      0.000u      0.000s      0.000w      1 calls
HF: Form G                          :      0.167u      0.000s      0.090w     18 calls
| JK: D                             :      0.000u      0.000s      0.000w     18 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w     18 calls
| JK: JK                            :      0.167u      0.000s      0.089w     18 calls
| | DFH: compute_JK()               :      0.017u      0.000s      0.002w     12 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     12 calls
| | | DFH: compute_J                :      0.017u      0.000s      0.001w     12 calls
| | | DFH: compute_K                :      0.000u      0.000s      0.001w     12 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     18 calls
